day,month,year,Price
8,1,2014,535.33
8,2,2014,553.75
8,3,2014,566.05
8,4,2014,546
8,5,2014,556
8,6,2014,549.9
8,7,2014,553.25
8,8,2014,575.5
8,9,2014,587.02
8,10,2014,592.97
8,11,2014,586.5
8,12,2014,611.5
8,1,2015,612.86
8,2,2015,624.33
8,3,2015,628.1
8,4,2015,611.6
8,5,2015,604.95
8,6,2015,630.9
8,7,2015,652.16
8,8,2015,678.4
8,9,2015,691.07
8,10,2015,677.55
8,11,2015,702.2
8,12,2015,705.92
8,1,2016,727.4
8,2,2016,713.7
8,3,2016,683.4
8,4,2016,683.56
8,5,2016,677.48
8,6,2016,673.8
8,7,2016,659.5
8,8,2016,654.9
8,9,2016,665.5
8,10,2016,669.5
8,11,2016,647.46
8,12,2016,654.79
8,1,2017,671.04
8,2,2017,647.76
8,3,2017,663.63
8,4,2017,656.41
8,5,2017,678.79
8,6,2017,665.23
8,7,2017,667.12
8,8,2017,648.83
8,9,2017,620.13
8,10,2017,633.4
8,11,2017,631.7
8,12,2017,655.58
8,1,2018,605.62
8,2,2018,603.15
8,3,2018,606.21
8,4,2018,604.25
8,5,2018,634.4
8,6,2018,630.05
8,7,2018,656.9
8,8,2018,645.23
8,9,2018,690.93
8,10,2018,679.08
8,11,2018,677.75
8,12,2018,674.75
8,1,2019,680.4
8,2,2019,658.08
8,3,2019,671.33
8,4,2019,663.98
